fdc_id,food_name,calories,protein,carbs,fat,source
320122,"MILK, 2% (WAVE 22E)",,,,,USDA
320123,"MILK, 2% (WAVE 22E)",,,,,USDA
320124,"MILK, 2% (WAVE 22E)",,,,,USDA
320125,"MILK, 2% (WAVE 22E)",,,,,USDA
320126,"MILK, 2% ",,,,,USDA
320127,"MILK, 2% ",,,,,USDA
320128,"MILK, 2% ",,,,1.85,USDA
320129,"MILK, 2% ",,,,,USDA
320130,"MILK, 2% ",,,,,USDA
320131,"MILK, 2% ",,,,,USDA
320132,"MILK, 2% ",,,,,USDA
320133,"MILK, 2% ",,,,,USDA
320134,"MILK, 2% ",,,,,USDA
320135,"MILK, 2% ",,,,,USDA
320136,"Milk, 2%",,,,,USDA
320137,"Milk, 2%",,,,,USDA
320138,"Milk, 2%",,,,,USDA
320139,"Milk, 2%",,,,,USDA
320140,"Milk, 2%",,,,,USDA
320141,"MILK, 2% (WAVE 22E)",,,,,USDA
320142,"MILK, 2% (WAVE 22E)",,,,,USDA
320143,"MILK, 2% (WAVE 22E)",,,,,USDA
320144,"MILK, 2% (WAVE 22E)",,,,,USDA
320145,"MILK, 2% ",,,,,USDA
320146,"MILK, 2% ",,,,,USDA
320147,"MILK, 2% ",,,,2.06,USDA
320148,"MILK, 2% ",,,,,USDA
320149,"MILK, 2% ",,,,,USDA
320150,"MILK, 2% ",,,,,USDA
320151,"MILK, 2% ",,,,,USDA
320152,"MILK, 2% ",,,,,USDA
320153,"MILK, 2% ",,,,,USDA
320154,"MILK, 2% ",,,,,USDA
320155,"MILK, 2% ",,,,,USDA
320156,"MILK, 2% ",,,,,USDA
320157,"MILK, 2% ",,,,,USDA
320158,"Milk, 2%",,,,,USDA
320159,"Milk, 2%",,,,,USDA
320160,"Milk, 2%",,,,,USDA
320161,"Milk, 2%",,,,,USDA
320162,"Milk, 2%",,,,,USDA
320163,"MILK, 2% (WAVE 22E)",,,,,USDA
320164,"MILK, 2% (WAVE 22E)",,,,,USDA
320165,"MILK, 2% (WAVE 22E)",,,,,USDA
320166,"MILK, 2% (WAVE 22E)",,,,,USDA
320167,"MILK, 2% ",,,,1.9,USDA
320168,"MILK, 2% ",,,,,USDA
320169,"MILK, 2% ",,,,,USDA
320170,"MILK, 2% ",,,,,USDA
320171,"MILK, 2% (WAVE 22E)",,,,,USDA
320172,"MILK, 2% (WAVE 22E)",,,,,USDA
320173,"MILK, 2% (WAVE 22E)",,,,,USDA
320174,"MILK, 2% ",,,,1.9,USDA
320175,"MILK, 2% ",,,,,USDA
320176,"MILK, 2% ",,,,,USDA
